Acct,Old CC,Date Updated
24729150,1000,12/13/2017
24736580,1000,12/13/2017
24744611,1000,12/13/2017
24744616,1000,12/13/2017
24744668,1000,12/13/2017
24747863,1000,12/13/2017
24747893,1000,12/13/2017
24747895,1000,12/13/2017
24747912,1000,12/13/2017
24747918,1000,12/13/2017
24819676,1000,12/13/2017
24819692,1000,12/13/2017
24823005,1000,12/13/2017
Acct,Old CC,New CC,Date Updated
24823016,1000,2570,12/13/2017
24842706,1000,2570,12/13/2017
24862775,1000,2570,12/13/2017
24862781,1000,2570,12/13/2017
24862878,1000,2570,12/13/2017
24865367,1000,2570,12/13/2017
24870211,1000,2570,12/13/2017
24870858,1000,2570,12/13/2017
24870921,1000,2570,12/13/2017
24871108,1000,2570,12/13/2017
24871116,1000,2570,12/13/2017
24871163,1000,2570,12/13/2017
24871171,1000,2570,12/13/2017
24871313,1000,2570,12/13/2017
Acct,Old CC,New CC,Date Updated
24871108,1000,2570,12/13/2017
24871116,1000,2570,12/13/2017
24871163,1000,2570,12/13/2017
24871171,1000,2570,12/13/2017
24871313,1000,2570,12/13/2017
24873090,1000,2570,12/13/2017
24873717,1000,2570,12/13/2017
24873725,1000,2570,12/13/2017
24882617,1000,2570,12/13/2017
24882619,1000,2570,12/13/2017
24882666,1000,2570,12/13/2017
24882725,1000,2570,12/13/2017
24882775,1000,2570,12/13/2017
24882991,1000,2570,12/13/2017
